"Repository","RepositoryURL","FilePath","FileURL","FileType"
"henrypescod/customer_clustering","https://github.com/henrypescod/customer_clustering","Copy of Pescod_Henry_DA301_Assignment_Rscript.R","https://github.com/henrypescod/customer_clustering/blob/4d40177174cc35f6136cbc32ec9a824122653908/Copy%20of%20Pescod_Henry_DA301_Assignment_Rscript.R","R"
"henrypescod/SQLpractice","https://github.com/henrypescod/SQLpractice","LSE_DA101_aggregate_and_group_with_SQL_demonstration.sql","https://github.com/henrypescod/SQLpractice/blob/0d82499e6dcc857ec18e929cd5bb9e5c48df92e8/LSE_DA101_aggregate_and_group_with_SQL_demonstration.sql","SQL"
"henrypescod/SQLpractice","https://github.com/henrypescod/SQLpractice","LSE_DA101_create_and_update_a_database_with_SQL_demonstration.sql","https://github.com/henrypescod/SQLpractice/blob/0d82499e6dcc857ec18e929cd5bb9e5c48df92e8/LSE_DA101_create_and_update_a_database_with_SQL_demonstration.sql","SQL"
"henrypescod/SQLpractice","https://github.com/henrypescod/SQLpractice","LSE_DA101_data_cleaning_with_SQL_demonstration.sql","https://github.com/henrypescod/SQLpractice/blob/0d82499e6dcc857ec18e929cd5bb9e5c48df92e8/LSE_DA101_data_cleaning_with_SQL_demonstration.sql","SQL"
"henrypescod/SQLpractice","https://github.com/henrypescod/SQLpractice","LSE_DA101_introduction_to_basic_SQL_commands_demonstration.sql","https://github.com/henrypescod/SQLpractice/blob/0d82499e6dcc857ec18e929cd5bb9e5c48df92e8/LSE_DA101_introduction_to_basic_SQL_commands_demonstration.sql","SQL"
"henrypescod/SQLpractice","https://github.com/henrypescod/SQLpractice","LSE_DA101_retrieving_data_with_SQL_demonstration.sql","https://github.com/henrypescod/SQLpractice/blob/0d82499e6dcc857ec18e929cd5bb9e5c48df92e8/LSE_DA101_retrieving_data_with_SQL_demonstration.sql","SQL"
"Iyanuadeleye01/Marketing-Analysis-with-SQL","https://github.com/Iyanuadeleye01/Marketing-Analysis-with-SQL","README.md","https://github.com/Iyanuadeleye01/Marketing-Analysis-with-SQL/blob/7bc2648c6377fcba8c6edffe598c53d967c08a86/README.md","MD"
"jacokate/Bank_of_England","https://github.com/jacokate/Bank_of_England","05 - FTSE patterns - GF.ipynb","https://github.com/jacokate/Bank_of_England/blob/5df430b2d9aefe53e51eba65ec77f2edc74782ed/05%20-%20FTSE%20patterns%20-%20GF.ipynb","IPYNB"
"JurgitaC/2Market-Supermarket-Data-Analysis","https://github.com/JurgitaC/2Market-Supermarket-Data-Analysis","README.md","https://github.com/JurgitaC/2Market-Supermarket-Data-Analysis/blob/241fe33d8f15c17208ddb94d068a594c28242f37/README.md","MD"
"JurgitaC/LSE-Data-Analytics-Career-Accelerator-Oct24-Jun25","https://github.com/JurgitaC/LSE-Data-Analytics-Career-Accelerator-Oct24-Jun25","README.md","https://github.com/JurgitaC/LSE-Data-Analytics-Career-Accelerator-Oct24-Jun25/blob/21216eb3b4468b864525be07dc1447421f735bc7/README.md","MD"
"Kasialec/Python-R---Turtle-Games","https://github.com/Kasialec/Python-R---Turtle-Games","Assignment_R_Katarzyna Lecka-Shahzad.R","https://github.com/Kasialec/Python-R---Turtle-Games/blob/9bc40e1d483018b43641e00d6bdb8af9af107cda/Assignment_R_Katarzyna%20Lecka-Shahzad.R","R"
"KelvinDhondee/LSE-Career-Accelerator","https://github.com/KelvinDhondee/LSE-Career-Accelerator","Course 1: Data Analytics for Business/Tableau/README.md","https://github.com/KelvinDhondee/LSE-Career-Accelerator/blob/d35fe564bf2cb9fe1815f52b2b8493f4f3b61dce/Course%201:%20Data%20Analytics%20for%20Business/Tableau/README.md","MD"
"KelvinDhondee/LSE-Career-Accelerator","https://github.com/KelvinDhondee/LSE-Career-Accelerator","Course 3: Advanced Analytics for Organisational Impact/R Analysis/Dhondee_Kelvin_DA301_Assignment_Rscript.R","https://github.com/KelvinDhondee/LSE-Career-Accelerator/blob/d35fe564bf2cb9fe1815f52b2b8493f4f3b61dce/Course%203:%20Advanced%20Analytics%20for%20Organisational%20Impact/R%20Analysis/Dhondee_Kelvin_DA301_Assignment_Rscript.R","R"
"KelvinDhondee/LSE-Career-Accelerator","https://github.com/KelvinDhondee/LSE-Career-Accelerator","Course 4: Capstone Project for the Bank of England/.ipynb files/Boe latest speeches scraping - GF.ipynb","https://github.com/KelvinDhondee/LSE-Career-Accelerator/blob/d35fe564bf2cb9fe1815f52b2b8493f4f3b61dce/Course%204:%20Capstone%20Project%20for%20the%20Bank%20of%20England/.ipynb%20files/Boe%20latest%20speeches%20scraping%20-%20GF.ipynb","IPYNB"
"KelvinDhondee/LSE-Career-Accelerator","https://github.com/KelvinDhondee/LSE-Career-Accelerator","Course 4: Capstone Project for the Bank of England/.ipynb files/FTSE patterns - GF.ipynb","https://github.com/KelvinDhondee/LSE-Career-Accelerator/blob/d35fe564bf2cb9fe1815f52b2b8493f4f3b61dce/Course%204:%20Capstone%20Project%20for%20the%20Bank%20of%20England/.ipynb%20files/FTSE%20patterns%20-%20GF.ipynb","IPYNB"
"KelvinDhondee/LSE-Career-Accelerator","https://github.com/KelvinDhondee/LSE-Career-Accelerator","Course 4: Capstone Project for the Bank of England/README.md","https://github.com/KelvinDhondee/LSE-Career-Accelerator/blob/d35fe564bf2cb9fe1815f52b2b8493f4f3b61dce/Course%204:%20Capstone%20Project%20for%20the%20Bank%20of%20England/README.md","MD"
"kittyg80/NHS-Data-Analysis","https://github.com/kittyg80/NHS-Data-Analysis","README.md","https://github.com/kittyg80/NHS-Data-Analysis/blob/8acfcca00a503c8aae6fd852c9af0f5c0cc5948b/README.md","MD"
"LottiMonika/LSE-Data-Analytics","https://github.com/LottiMonika/LSE-Data-Analytics","README.md","https://github.com/LottiMonika/LSE-Data-Analytics/blob/86ae451942afe56b89dd93ce70bc9e7fad035b3b/README.md","MD"
"Matteo-Natalini/Python_activities","https://github.com/Matteo-Natalini/Python_activities","LSE_DA301_AB testing_demonstration.ipynb","https://github.com/Matteo-Natalini/Python_activities/blob/d2d3b2e8aacbcdbdb7b63d8aee51eeda955c1927/LSE_DA301_AB%20testing_demonstration.ipynb","IPYNB"
"Matteo-Natalini/Python_activities","https://github.com/Matteo-Natalini/Python_activities","LSE_DA301_PA_best_fit_line_solution.ipynb","https://github.com/Matteo-Natalini/Python_activities/blob/d2d3b2e8aacbcdbdb7b63d8aee51eeda955c1927/LSE_DA301_PA_best_fit_line_solution.ipynb","IPYNB"
"Matteo-Natalini/Python_activities","https://github.com/Matteo-Natalini/Python_activities","LSE_DA301_PA_conduct_AB_testing_solution.ipynb","https://github.com/Matteo-Natalini/Python_activities/blob/d2d3b2e8aacbcdbdb7b63d8aee51eeda955c1927/LSE_DA301_PA_conduct_AB_testing_solution.ipynb","IPYNB"
"Matteo-Natalini/Python_activities","https://github.com/Matteo-Natalini/Python_activities","LSE_DA301_PA_finding_returns_of_stocks_solution.ipynb","https://github.com/Matteo-Natalini/Python_activities/blob/d2d3b2e8aacbcdbdb7b63d8aee51eeda955c1927/LSE_DA301_PA_finding_returns_of_stocks_solution.ipynb","IPYNB"
"Matteo-Natalini/Python_activities","https://github.com/Matteo-Natalini/Python_activities","LSE_DA301_PA_fitting_dataset_ols_method_solution.ipynb","https://github.com/Matteo-Natalini/Python_activities/blob/d2d3b2e8aacbcdbdb7b63d8aee51eeda955c1927/LSE_DA301_PA_fitting_dataset_ols_method_solution.ipynb","IPYNB"
"Matteo-Natalini/Python_activities","https://github.com/Matteo-Natalini/Python_activities","LSE_DA301_PA_multiple_linear_regression_solution.ipynb","https://github.com/Matteo-Natalini/Python_activities/blob/d2d3b2e8aacbcdbdb7b63d8aee51eeda955c1927/LSE_DA301_PA_multiple_linear_regression_solution.ipynb","IPYNB"
"Matteo-Natalini/Python_activities","https://github.com/Matteo-Natalini/Python_activities","LSE_DA301_PA_summarising_model_outputs_solution.ipynb","https://github.com/Matteo-Natalini/Python_activities/blob/d2d3b2e8aacbcdbdb7b63d8aee51eeda955c1927/LSE_DA301_PA_summarising_model_outputs_solution.ipynb","IPYNB"
"MichaelLogic/knowplans-education","https://github.com/MichaelLogic/knowplans-education","_site/kp_analytics.html","https://github.com/MichaelLogic/knowplans-education/blob/4464ff4f85309d5023a59c89f9bb7b1b3cd51eb3/_site/kp_analytics.html","HTML"
"MichaelLogic/knowplans-education","https://github.com/MichaelLogic/knowplans-education","_site/kp_ecosystem_integrity.html","https://github.com/MichaelLogic/knowplans-education/blob/4464ff4f85309d5023a59c89f9bb7b1b3cd51eb3/_site/kp_ecosystem_integrity.html","HTML"
"MichaelLogic/knowplans-education","https://github.com/MichaelLogic/knowplans-education","_site/license_community_developer.html","https://github.com/MichaelLogic/knowplans-education/blob/4464ff4f85309d5023a59c89f9bb7b1b3cd51eb3/_site/license_community_developer.html","HTML"
"MichaelLogic/knowplans-education","https://github.com/MichaelLogic/knowplans-education","_site/license_franchised.html","https://github.com/MichaelLogic/knowplans-education/blob/4464ff4f85309d5023a59c89f9bb7b1b3cd51eb3/_site/license_franchised.html","HTML"
"MichaelLogic/knowplans-education","https://github.com/MichaelLogic/knowplans-education","_site/license_small_business.html","https://github.com/MichaelLogic/knowplans-education/blob/4464ff4f85309d5023a59c89f9bb7b1b3cd51eb3/_site/license_small_business.html","HTML"
"MichaelLogic/knowplans-education","https://github.com/MichaelLogic/knowplans-education","_site/search.json","https://github.com/MichaelLogic/knowplans-education/blob/4464ff4f85309d5023a59c89f9bb7b1b3cd51eb3/_site/search.json","JSON"
"MichaelLogic/knowplans-education","https://github.com/MichaelLogic/knowplans-education","pages/kp_main/kp_analytics.md","https://github.com/MichaelLogic/knowplans-education/blob/4464ff4f85309d5023a59c89f9bb7b1b3cd51eb3/pages/kp_main/kp_analytics.md","MD"
"MichaelLogic/knowplans-education","https://github.com/MichaelLogic/knowplans-education","pages/kp_main/kp_ecosystem_integrity.md","https://github.com/MichaelLogic/knowplans-education/blob/4464ff4f85309d5023a59c89f9bb7b1b3cd51eb3/pages/kp_main/kp_ecosystem_integrity.md","MD"
"MichaelLogic/knowplans-education","https://github.com/MichaelLogic/knowplans-education","pages/licenses/license_community_developer.md","https://github.com/MichaelLogic/knowplans-education/blob/4464ff4f85309d5023a59c89f9bb7b1b3cd51eb3/pages/licenses/license_community_developer.md","MD"
"MichaelLogic/knowplans-education","https://github.com/MichaelLogic/knowplans-education","pages/licenses/license_franchised.md","https://github.com/MichaelLogic/knowplans-education/blob/4464ff4f85309d5023a59c89f9bb7b1b3cd51eb3/pages/licenses/license_franchised.md","MD"
"MichaelLogic/knowplans-education","https://github.com/MichaelLogic/knowplans-education","pages/licenses/license_small_business.md","https://github.com/MichaelLogic/knowplans-education/blob/4464ff4f85309d5023a59c89f9bb7b1b3cd51eb3/pages/licenses/license_small_business.md","MD"
"murbaracho/monicabaracho","https://github.com/murbaracho/monicabaracho","2market.html","https://github.com/murbaracho/monicabaracho/blob/2d5895da2733fc215fa2a8dbfcd99a3d85ba6e95/2market.html","HTML"
"murbaracho/NHS-dashboard-","https://github.com/murbaracho/NHS-dashboard-","app.py","https://github.com/murbaracho/NHS-dashboard-/blob/952e9f969a7307d644e8e1124bdad804d37fe98e/app.py","PY"
"murbaracho/NHS-dashboard-project","https://github.com/murbaracho/NHS-dashboard-project","app.py","https://github.com/murbaracho/NHS-dashboard-project/blob/72a1c9ed06decfe539046f53f7e2bb735a4d5bc3/app.py","PY"
"OpenDocCN/geekdoc-blockchain-zh","https://github.com/OpenDocCN/geekdoc-blockchain-zh","data/bc-tfm-biz_11.yaml","https://github.com/OpenDocCN/geekdoc-blockchain-zh/blob/d4b2898861889899d9b41f55f4b36f84e9e1aa6b/data/bc-tfm-biz_11.yaml","YAML"
"patroytall/patrick-roy-me","https://github.com/patroytall/patrick-roy-me","src/professional/about.md","https://github.com/patroytall/patrick-roy-me/blob/dbe2915186814d016e29c69506d25ef5cd34897d/src/professional/about.md","MD"
"philbest82/Turtle_Games","https://github.com/philbest82/Turtle_Games","Phil_Best_Turtle_Games_R_Script.R","https://github.com/philbest82/Turtle_Games/blob/1b1d17d4eb96962643781b5263417f3916d94de0/Phil_Best_Turtle_Games_R_Script.R","R"
"philbest82/Turtle_Games","https://github.com/philbest82/Turtle_Games","README.md","https://github.com/philbest82/Turtle_Games/blob/1b1d17d4eb96962643781b5263417f3916d94de0/README.md","MD"
"pykenneth/python_anywhere","https://github.com/pykenneth/python_anywhere","LSE_DA201_PA_create _a_dataframe_start (1).ipynb","https://github.com/pykenneth/python_anywhere/blob/9c688f49b5d427d1df7f2cac75c09fcbf2c8a128/LSE_DA201_PA_create%20_a_dataframe_start%20(1).ipynb","IPYNB"
"pykenneth/python_anywhere","https://github.com/pykenneth/python_anywhere","LSE_DA301_Assignment_R_KennethLo.R","https://github.com/pykenneth/python_anywhere/blob/9c688f49b5d427d1df7f2cac75c09fcbf2c8a128/LSE_DA301_Assignment_R_KennethLo.R","R"
"rohitabraham86/my_python_activity","https://github.com/rohitabraham86/my_python_activity","LSE_DA201_PA_create _a_dataframe_start.ipynb","https://github.com/rohitabraham86/my_python_activity/blob/0957464e76009996dcc9306e6c493d68e68f4897/LSE_DA201_PA_create%20_a_dataframe_start.ipynb","IPYNB"
"rohitabraham86/my_python_activity","https://github.com/rohitabraham86/my_python_activity","LSE_DA201_PA_create _a_dataframe_start.py","https://github.com/rohitabraham86/my_python_activity/blob/0957464e76009996dcc9306e6c493d68e68f4897/LSE_DA201_PA_create%20_a_dataframe_start.py","PY"
"romeewee/Dinushi_Romeena_LSE301","https://github.com/romeewee/Dinushi_Romeena_LSE301","Weerakoon_Dinushi_DA301_Assignment_Notebook.py","https://github.com/romeewee/Dinushi_Romeena_LSE301/blob/2e0aaa5a69c033ae3ae4db353b0d4ad3fdefb38e/Weerakoon_Dinushi_DA301_Assignment_Notebook.py","PY"
"romeewee/Dinushi_Romeena_LSE301","https://github.com/romeewee/Dinushi_Romeena_LSE301","Weerakoon_Dinushi_DA301_Assignment_Rscipt.R","https://github.com/romeewee/Dinushi_Romeena_LSE301/blob/2e0aaa5a69c033ae3ae4db353b0d4ad3fdefb38e/Weerakoon_Dinushi_DA301_Assignment_Rscipt.R","R"
"Sujith-DA279/Sujith-DA279.github.io","https://github.com/Sujith-DA279/Sujith-DA279.github.io","index.html","https://github.com/Sujith-DA279/Sujith-DA279.github.io/blob/003aed6edea9cc0b1703671a7717c2a017c91219/index.html","HTML"
"teamlse2022/Thoughtworks","https://github.com/teamlse2022/Thoughtworks","README.md","https://github.com/teamlse2022/Thoughtworks/blob/c524cc0e607dc2b20df55792dbc6acfc8a65ce63/README.md","MD"
"The-Ryan-Lin/AB_Testing","https://github.com/The-Ryan-Lin/AB_Testing","AB_testing_exercise.ipynb","https://github.com/The-Ryan-Lin/AB_Testing/blob/e3d8f4f9c92e96e2182f0cfdfa992c8e110ef339/AB_testing_exercise.ipynb","IPYNB"
"The-Ryan-Lin/BOE_Sentiment_Analysis","https://github.com/The-Ryan-Lin/BOE_Sentiment_Analysis","Final Data and Notebooks/EP5_BOE_Data_Sourcing_Creation_of_Economic_Indicators.ipynb","https://github.com/The-Ryan-Lin/BOE_Sentiment_Analysis/blob/9df5c602fd34fb735064ee8422126a487800713d/Final%20Data%20and%20Notebooks/EP5_BOE_Data_Sourcing_Creation_of_Economic_Indicators.ipynb","IPYNB"
"The-Ryan-Lin/The-Ryan-Lin","https://github.com/The-Ryan-Lin/The-Ryan-Lin","README.md","https://github.com/The-Ryan-Lin/The-Ryan-Lin/blob/eea823e456ab20690bea32f63e7ccaf05d3e6814/README.md","MD"
"totoberni/LSE-DA101","https://github.com/totoberni/LSE-DA101","reports/main_report.tex","https://github.com/totoberni/LSE-DA101/blob/d47c3e93bf79112582b6e61ffade4d58eb82cfd4/reports/main_report.tex","TEX"
"ttuncay/Zoomo-Project_LEVeraging-Data-Team","https://github.com/ttuncay/Zoomo-Project_LEVeraging-Data-Team","README.md","https://github.com/ttuncay/Zoomo-Project_LEVeraging-Data-Team/blob/512fdef554905a7959e37043dc2dbe525c6a5c08/README.md","MD"
"v-da-wb/portfolio","https://github.com/v-da-wb/portfolio","Stat_panel/R_script.R","https://github.com/v-da-wb/portfolio/blob/f441f96d4afcf31911dac677b8efd84f3ac762b0/Stat_panel/R_script.R","R"
"ypauzunova/Predictive_modelling_Customer_trends","https://github.com/ypauzunova/Predictive_modelling_Customer_trends","YP_LSE_R_customer_trends.R","https://github.com/ypauzunova/Predictive_modelling_Customer_trends/blob/46b259438b6168df1159e9baa4a8b09fe10d0a5d/YP_LSE_R_customer_trends.R","R"
